code,nom
28040,Saint-Cyprien
68035,Saint-Cyprien-de-Napierville
17045,Saint-Cyrille-de-Lessard
49070,Saint-Cyrille-de-Wendover
50030,Saint-Célestin
50035,Saint-Célestin
55023,Saint-Césaire
62065,Saint-Côme
29057,Saint-Côme--Linière
54017,Saint-Damase
17040,Saint-Damase-de-L'Islet
62075,Saint-Damien
19030,Saint-Damien-de-Buckland
53005,Saint-David
94245,Saint-David-de-Falardeau
14055,Saint-Denis-De La Bouteillerie
42025,Saint-Denis-de-Brompton
57068,Saint-Denis-sur-Richelieu
52090,Saint-Didace
54060,Saint-Dominique
88065,Saint-Dominique-du-Rosaire
62060,Saint-Donat
49100,Saint-Edmond-de-Grantham
92050,Saint-Edmond-les-Plaines
50095,Saint-Elphège
26022,Saint-Elzéar
13085,Saint-Elzéar-de-Témiscouata
63030,Saint-Esprit
49105,Saint-Eugène
92065,Saint-Eugène-d'Argentenay
85085,Saint-Eugène-de-Guigues
10075,Saint-Eugène-de-Ladrière
72005,Saint-Eustache
13030,Saint-Eusèbe
10070,Saint-Fabien
18015,Saint-Fabien-de-Panet
32013,Saint-Ferdinand
21010,Saint-Ferréol-les-Neiges
33052,Saint-Flavien
31030,Saint-Fortunat
42020,Saint-François-Xavier-de-Brompton
12025,Saint-François-Xavier-de-Viger
91015,Saint-François-de-Sales
20005,Saint-François-de-l'Île-d'Orléans
18060,Saint-François-de-la-Rivière-du-Sud
50128,Saint-François-du-Lac
27065,Saint-Frédéric
94235,Saint-Fulgence
91042,Saint-Félicien
94225,Saint-Félix-d'Otis
49005,Saint-Félix-de-Kingsey
62007,Saint-Félix-de-Valois
52080,Saint-Gabriel
14075,Saint-Gabriel-Lalemant
52085,Saint-Gabriel-de-Brandon
22025,Saint-Gabriel-de-Valcartier
29073,Saint-Georges
40032,Saint-Georges-de-Windsor
49048,Saint-Germain-de-Grantham
14045,Saint-Germain-de-Kamouraska
19075,Saint-Gervais
34060,Saint-Gilbert
33035,Saint-Gilles
49113,Saint-Guillaume
93035,Saint-Gédéon
29013,Saint-Gédéon-de-Beauce
53085,Saint-Gérard-Majella
19068,Saint-Henri
93070,Saint-Henri-de-Taillon
44015,Saint-Herménégilde
29020,Saint-Hilaire-de-Dorset
16050,Saint-Hilarion
75045,Saint-Hippolyte
94240,Saint-Honoré
29038,Saint-Honoré-de-Shenley
13090,Saint-Honoré-de-Témiscouata
12010,Saint-Hubert-de-Rivière-du-Loup
54100,Saint-Hugues
54048,Saint-Hyacinthe
52045,Saint-Ignace-de-Loyola
46095,Saint-Ignace-de-Stanbridge
15005,Saint-Irénée
26063,Saint-Isidore
67040,Saint-Isidore
41012,Saint-Isidore-de-Clifton
63013,Saint-Jacques
31140,Saint-Jacques-de-Leeds
31025,Saint-Jacques-le-Majeur-de-Wolfestown
68040,Saint-Jacques-le-Mineur
33065,Saint-Janvier-de-Joly
57033,Saint-Jean-Baptiste
17070,Saint-Jean-Port-Joli
31100,Saint-Jean-de-Brébeuf
11010,Saint-Jean-de-Dieu
62015,Saint-Jean-de-Matha
20015,Saint-Jean-de-l'Île-d'Orléans
13010,Saint-Jean-de-la-Lande
56083,Saint-Jean-sur-Richelieu
21020,Saint-Joachim
47040,Saint-Joachim-de-Shefford
27043,Saint-Joseph-de-Beauce
31045,Saint-Joseph-de-Coleraine
14030,Saint-Joseph-de-Kamouraska
53050,Saint-Joseph-de-Sorel
27050,Saint-Joseph-des-Érables
72025,Saint-Joseph-du-Lac
54110,Saint-Jude
27055,Saint-Jules
31035,Saint-Julien
18005,Saint-Just-de-Bretenières
13040,Saint-Juste-du-Lac
51045,Saint-Justin
75017,Saint-Jérôme
58012,Saint-Lambert
87120,Saint-Lambert
26070,Saint-Lambert-de-Lauzon
20020,Saint-Laurent-de-l'Île-d'Orléans
71105,Saint-Lazare
19050,Saint-Lazare-de-Bellechasse
54072,Saint-Liboire
63065,Saint-Liguori
63048,Saint-Lin--Laurentides
54120,Saint-Louis
39170,Saint-Louis-de-Blandford
28035,Saint-Louis-de-Gonzague
70035,Saint-Louis-de-Gonzague
21015,Saint-Louis-de-Gonzague-du-Cap-Tourmente
13080,Saint-Louis-du-Ha! Ha!
28060,Saint-Luc-de-Bellechasse
37225,Saint-Luc-de-Vincennes
49030,Saint-Lucien
30072,Saint-Ludger
93080,Saint-Ludger-de-Milot
